iter	Passed	Remaining
0	208	1041533
1	414	1036002
2	590	983237
3	784	979526
4	972	971281
5	1169	973540
6	1424	1015746
7	1640	1023571
8	1837	1018877
9	2028	1012252
10	2224	1008754
11	2446	1016763
12	2666	1022769
13	2843	1012556
14	3032	1007829
15	3230	1006441
16	3425	1003983
17	3652	1010971
18	3832	1004817
19	4002	996586
20	4200	995936
21	4391	993759
22	4617	999105
23	4832	1001902
24	5012	997498
25	5178	990612
26	5358	987010
27	5525	981164
28	5740	984054
29	5919	980675
30	6086	975550
31	6253	970800
32	6457	971954
33	6663	973298
34	6860	973141
35	7087	977228
36	7320	981906
37	7543	985018
38	7764	987737
39	7964	987544
40	8151	985875
41	8331	983487
42	8579	989091
43	8755	986180
44	8936	983992
45	9114	981587
46	9296	979676
47	9564	986711
48	9743	984517
49	9957	985819
50	10157	985643
51	10397	989387
52	10601	989511
53	10776	987065
54	10913	981222
55	11057	976203
56	11225	973510
57	11383	969947
58	11537	966234
59	11697	963108
60	11854	959856
61	11997	955553
62	12152	952345
63	12309	949382
64	12461	946122
65	12669	947147
66	12813	943395
67	12964	940279
68	13128	938229
69	13274	934919
70	13437	932893
71	13607	931347
72	13748	927933
73	13929	927232
74	14092	925402
75	14258	923771
76	14447	923688
77	14620	922574
78	14785	921008
79	14926	917969
80	15099	916984
81	15281	916518
82	15450	915284
83	15607	913390
84	15801	913702
85	15972	912632
86	16115	910075
87	16250	907087
88	16406	905309
89	16591	905168
90	16773	904844
91	16952	904354
92	17105	902522
93	17252	900453
94	17411	899002
95	17584	898268
96	17754	897417
97	17888	894811
98	18032	892682
99	18178	890743
100	18312	888265
101	18463	886620
102	18614	885022
103	18796	884859
104	18931	882547
105	19110	882349
106	19286	881964
107	19450	881022
108	19619	880361
109	19789	879739
110	19952	878799
111	20105	877474
112	20241	875389
113	20398	874260
114	20530	872095
115	20711	872006
116	20873	871140
117	21041	870550
118	21186	869007
119	21336	867690
120	21496	866769
121	21652	865756
122	21812	864870
123	21966	863779
124	22133	863223
125	22289	862228
126	22445	861239
127	22594	859989
128	22741	858722
129	22941	859411
130	23088	858133
131	23280	858546
132	23433	857533
133	23584	856448
134	23723	854927
135	23902	854866
136	24055	853871
137	24220	853328
138	24418	853931
139	24601	854036
140	24782	854042
141	24955	853746
142	25133	853668
143	25282	852581
144	25456	852342
145	25623	851898
146	25778	851026
147	25954	850871
148	26112	850139
149	26273	849500
150	26451	849414
151	26627	849272
152	26782	848461
153	26968	848630
154	27147	848571
155	27340	848949
156	27505	848477
157	27680	848299
158	27856	848124
159	28037	848141
160	28195	847432
161	28380	847554
162	28555	847373
163	28738	847443
164	28923	847534
165	29112	847759
166	29290	847656
167	29482	847965
